incident_id,Incident_date,state,city_or_county,address,killed,injured
873847,2017-06-22,Michigan,Detroit,1100 block of Osborne Street,1,6
172288,2014-08-10,Michigan,Detroit,2455 Idylwild Dr,0,6
909423,2017-08-08,Michigan,Detroit,50 block of E 37th St,1,6
283115,2015-01-23,Michigan,Detroit,954 Parker Street,0,6
1603241,2020-01-22,Michigan,Detroit,1530 3rd Ave,1,7
1468190,2019-08-04,Michigan,Detroit,1800 S Kildare Ave,1,7
1622233,2020-02-15,Michigan,Detroit,2800 block of Riverport Rd,0,7
869968,2017-06-18,Michigan,Detroit,311 N Ocean Blvd,0,7
399212,2015-08-21,Michigan,Detroit,2700 block of Hinson Drive,0,8
2092469,2021-08-16,Michigan,Detroit,927 DeKalb Ave,0,8
1577518,2019-12-22,Michigan,Detroit,5700 block of S May St,0,13
1758966,2020-08-09,Michigan,Detroit,3300 block of Dubois Pl SE,1,21
1044234,2018-02-07,Maryland,District Heights,I-95 and Lantana Ave,3,3
1909849,2021-01-22,Maryland,District Heights,217 E Martin Luther King Jr Blvd,0,5
124131,2014-04-09,Maryland,District Heights (Forestville),300 N Sunset Ave,0,5
501256,2016-02-07,Illinois,Dolton,Davis Avenue,2,4
1197278,2018-08-27,Louisiana,Donaldsonville,2600 block of W 34th Ave,1,3
1495192,2019-09-02,Alabama,Dothan,25019 Ridge Road,5,0
223582,2014-11-21,Georgia,Douglasville,600 block of Miller Avenue,0,6
290626,2015-02-09,Delaware,Dover,9552 Adler Street,3,1
1558067,2019-11-25,Delaware,Dover,NW 29th Ave and 44th St,2,2
1263332,2018-11-25,Delaware,Dover,1000 block of 24th St,0,4
2107621,2021-09-03,Mississippi,Drew,9345 US-290,1,3
765559,2017-01-31,Georgia,Dublin,1576 S White Station Rd,0,4
1077180,2018-03-24,North Carolina,Dunn,3180 South 5600 West,0,4
574850,2016-06-08,Pennsylvania,Duquesne,1300 North Capitol St NW,0,4
1525476,2019-10-12,North Carolina,Durham,6733 W Irving Park Rd,5,0
866448,2017-06-13,North Carolina,Durham,1200 block of Bonaparte Avenue,2,2
622500,2016-08-05,North Carolina,Durham,21600 block of Rider St,2,2
1386481,2019-05-03,North Carolina,Durham,5400 Cedar Springs Rd,1,3
1700864,2020-06-09,North Carolina,Durham,E 13th St and Greenwood St,0,5
739451,2017-01-01,Tennessee,Dyersburg,9220 Skillman Street,1,3
364789,2015-06-27,Tennessee,Dyersburg,Stringham Court,0,4
156125,2014-07-06,Indiana,East Chicago,NW 20th Ave and NW 62nd St,2,2
1577438,2019-12-20,Michigan,East Lansing,2900 block of Davison St,2,2
134238,2014-05-11,Ohio,East Liverpool,2517 Shasta,0,7
1910619,2021-01-24,New Jersey,East Orange,W Wilson Ave and H St,0,5
2001362,2021-05-10,California,East Palo Alto,3804 S Court St,0,7
1666945,2020-04-27,Illinois,East Saint Louis,2800 block of N 12th St,5,0
739766,2017-01-01,Illinois,East Saint Louis,8000 block of NW 14th Ave,0,7
1238603,2018-10-22,Illinois,East St. Louis,9231 S Cottage Grove Av,0,6
1754613,2020-08-04,Michigan,Eastpointe,13200 Mulholland Dr,1,4
1991347,2021-04-25,Louisiana,Edgard,1101 W Palestine Ave,0,4
376211,2015-07-17,Missouri,Edgerton,4400 block of W. Maypole,0,5
592207,2016-06-29,Maryland,Edgewood,6100 block of West Lake Mead Boulevard,5,0
689518,2016-10-31,Maryland,Edgewood,700 Block of W 68th St,0,4
1245703,2018-11-01,Texas,Edinburg,3400 block of Girard Ave N,0,5
1154558,2018-07-02,Mississippi,Edwards,Grape St,2,2
1501350,2019-09-10,Pennsylvania,Effort,2200 block of W Maypole Ave,0,4
1894979,2021-01-04,New Jersey,Egg Harbor City,1225 S 78th St,0,5
1493374,2019-09-01,Arkansas,El Dorado,3257 Stickney Ave,0,4
2032486,2021-06-12,Arizona,El Mirage,8805 Buckeye Rd,3,4
160488,2014-07-19,Texas,El Paso,1300 North Mason Avenue,0,4
2005196,2021-05-15,Texas,El Paso,1625 Webster Ave,1,4
205298,2014-10-13,Texas,El Paso,85 Mount Zion Road,0,4
907857,2017-08-06,Texas,El Paso,1000 block of 106th Avenue,0,7
1664933,2020-04-24,Texas,El Paso (Socorro),4714 Ward St,3,1
273535,2015-01-04,Illinois,Elgin,3634 Shenandoah Ave NW,2,4
1466705,2019-08-03,Illinois,Elgin,7101 Gateway Blvd,23,23
1305516,2019-01-19,New Jersey,Elizabeth,4400 block of W Madison St,0,4
1180161,2018-08-04,New Jersey,Elizabeth,E 18th St and Highland Ave,0,6
222393,2014-11-18,North Carolina,Elizabeth City,Englestad Street,0,4
883656,2017-07-01,Kentucky,Elizabethtown,2727 S 13000 Rd E,0,4
1405749,2019-05-26,Indiana,Elkhart,800 block of Alvis Road,0,5
499422,2016-02-03,Alabama,Elkmont,1500 block of Butler St SE,0,4
274867,2015-01-06,West Virginia,Elkview,1300 block of NW 62nd Street,1,3
1364540,2019-04-06,Georgia,Ellenwood,6300 block of S Seeley Ave,0,6
1046961,2018-02-10,North Carolina,Elm City,413 Mill St,5,0
2062359,2021-07-14,New York,Elmira,1533 W 79th St,0,5
1439765,2019-07-04,Ohio,Elyria,4700 block of E Hamilton Ave,1,3
427621,2015-10-09,Alabama,Enterprise,216 E Mountain View Dr,1,3
1972187,2021-04-08,Alabama,Enterprise,350 Stone City Dr,1,5
