Year,state,city_or_county,"# of Death","# of Injured"
2017,Delaware,Harrington,7,21
2017,Connecticut,Hartford,0,15
2017,"West Virginia",Huntington,5,4
2017,Missouri,"Kansas City",2,24
2017,Washington,Kent,3,18
2017,Minnesota,Minneapolis,2,12
2017,Nevada,"North Las Vegas",1,7
2017,Oklahoma,"Oklahoma City",0,8
2017,Nebraska,Omaha,0,6
2017,Arizona,Phoenix,7,20
2017,Utah,"Spanish Fork",27,20
2017,Kansas,Topeka,0,4
2017,"District of Columbia",Washington,7,6
2018,Maryland,Aberdeen,16,28
2018,"South Carolina",Aiken,6,19
2018,Ohio,Akron,15,51
2018,Georgia,Albany,3,40
2018,"New York",Albany,24,79
2018,Alabama,Albertville,8,19
2018,"New Mexico",Albuquerque,1,9
2018,Florida,Altha,23,89
2018,Texas,Amarillo,29,82
2018,Indiana,Anderson,3,25
2018,Tennessee,Antioch,11,40
2018,Oklahoma,Ardmore,3,35
2018,California,Bakersfield,29,146
2018,Pennsylvania,"Beaver Falls",20,77
2018,Louisiana,Bogalusa,12,49
2018,Massachusetts,Boston,3,10
2018,Connecticut,Bridgeport,5,13
2018,"New Jersey",Bridgeton,7,43
2018,"North Carolina",Burlington,34,45
2018,Washington,Burlington,0,18
2018,Mississippi,Canton,8,30
2018,Colorado,Capulin,5,10
2018,Illinois,Champaign,48,128
2018,Iowa,Davenport,6,13
2018,Michigan,Detroit,10,29
2018,Delaware,Dover,0,4
2018,Arizona,Glendale,0,29
2018,Utah,Grantsville,0,4
2018,Oregon,Gresham,2,7
2018,Missouri,"Kansas City",3,41
2018,Kentucky,Lexington,3,21
2018,Arkansas,"Little Rock",1,3
2018,"New Hampshire",Manchester,3,1
2018,Wisconsin,Milwaukee,2,10
2018,Minnesota,Minneapolis,2,15
2018,Virginia,Norfolk,18,31
2018,Nevada,"North Las Vegas",0,6
2018,Nebraska,Omaha,0,6
2018,"Rhode Island",Providence,3,1
2018,Kansas,Topeka,0,9
2018,"District of Columbia",Washington,6,15
2019,Ohio,Akron,21,90
2019,"New York",Albany,23,44
2019,Michigan,Albion,18,66
2019,"New Mexico",Albuquerque,1,11
2019,California,"Aliso Viejo",40,158
2019,"South Carolina",Allendale,13,42
2019,Alaska,Anchorage,2,2
2019,Texas,Arlington,15,72
2019,"New Jersey","Asbury Park",11,38
2019,Georgia,Atlanta,11,63
2019,Colorado,Aurora,4,16
2019,Illinois,Aurora,78,210
2019,Louisiana,Baker,38,96
2019,Maryland,Baltimore,25,34
2019,Mississippi,Batesville,8,42
2019,Alabama,"Bessemer (Brighton)",8,35
2019,Massachusetts,Boston,7,26
2019,Arkansas,Brinkley,1,28
2019,Florida,Brownsville,21,101
2019,Iowa,"Cedar Rapids",0,4
2019,"North Carolina",Charlotte,13,53
2019,Virginia,Chesapeake,7,63
2019,Tennessee,Clarksville,7,23
2019,Delaware,Claymont,6,3
2019,Missouri,Columbia,11,72
2019,Pennsylvania,Effort,16,60
2019,Indiana,Elkhart,18,62
2019,Minnesota,"Excelsior (Greenwood",12,30
2019,Connecticut,Hamden,1,5
2019,Wisconsin,Janesville,4,13
2019,Kansas,"Kansas City",0,13
2019,Nevada,"Las Vegas",1,11
2019,Kentucky,Louisville,0,20
2019,Arizona,Mesa,4,19
2019,Oklahoma,"Oklahoma City",1,27
2019,Nebraska,Omaha,1,3
2019,Utah,Sandy,1,4
2019,Washington,Seattle,10,20
2019,"District of Columbia",Washington,7,30
2020,Georgia,Acworth,9,107
2020,Ohio,Akron,24,79
2020,"New Mexico",Albuquerque,3,30
2020,Virginia,Alexandria,5,28
2020,Texas,Allen,45,213
2020,Michigan,Allendale,25,89
2020,Illinois,Alton,59,219
2020,California,Anaheim,39,325
2020,Alaska,Anchorage,2,6
2020,"South Carolina",Anderson,3,38
2020,"New York","Arverne (Queens)",11,69
2020,"North Carolina",Asheville,16,48
2020,Arkansas,Atkins,9,33
2020,Colorado,Aurora,12,39
2020,Maryland,Baltimore,18,83
2020,Louisiana,"Baton Rouge",21,111
2020,Nebraska,Bellevue,1,7
2020,Alabama,Birmingham,11,67
2020,Massachusetts,Boston,3,30
2020,Pennsylvania,Braddock,33,131
2020,Connecticut,Bridgeport,1,36
2020,Mississippi,Brookhaven,4,41
2020,Tennessee,Brownsville,7,129
2020,Minnesota,Buffalo,4,17
2020,Missouri,"Cape Girardeau",12,52
2020,Arizona,"Casa Grande",6,13
2020,Florida,"Daytona Beach",29,131
2020,Iowa,"Des Moines",1,7
2020,Indiana,Evansville,16,75
2020,Washington,Everett,12,25
2020,Kentucky,Garrison,9,33
2020,Oregon,Gresham,12,12
2020,Kansas,Hesston,1,19
2020,"New Jersey","Jersey City",9,50
2020,Nevada,"Las Vegas",3,16
2020,Wisconsin,Madison,12,23
2020,Maine,Madison,1,4
2020,Oklahoma,"Oklahoma City",2,8
2020,"Rhode Island",Providence,0,13
2020,Utah,"Salt Lake City",0,7
2020,"South Dakota","Sioux Falls",1,9
2020,"District of Columbia",Washington,19,62
2020,"West Virginia",Williamsburg,1,3
2020,Delaware,Wilmington,2,2
2021,California,Aguanga,45,234
2021,"South Carolina",Aiken,28,76
2021,Alabama,Akron,23,64
2021,"New York",Albany,37,119
2021,Georgia,Albany,20,106
2021,Louisiana,Alexandria,19,64
2021,Maryland,Annapolis,12,68
2021,"New Jersey","Atlantic City",10,87
2021,Colorado,Aurora,2,16
2021,Texas,Austin,35,143
2021,Washington,Belfair,13,36
2021,Kentucky,Benton,2,15
2021,Arkansas,Blytheville,3,11
2021,Massachusetts,Boston,3,24
2021,Florida,"Boynton Beach",16,136
2021,Tennessee,Bristol,19,85
2021,Illinois,Carbondale,63,191
2021,"North Carolina",Charlotte,12,70
2021,Virginia,Chesapeake,17,60
2021,Ohio,Cincinnati,21,61
2021,Iowa,Coralville,1,8
2021,Michigan,Detroit,5,57
2021,Mississippi,Drew,11,36
2021,Arizona,"El Mirage",7,35
2021,Pennsylvania,Erie,25,95
2021,Indiana,Evansville,6,47
2021,Missouri,Fulton,35,95
2021,Connecticut,Hartford,1,4
2021,Nevada,Henderson,9,25
2021,Kansas,"Kansas City",4,19
2021,"New Mexico","La Madera",0,4
2021,Wisconsin,Madison,5,26
2021,Minnesota,Minneapolis,13,20
2021,Nebraska,Omaha,0,4
2021,Oregon,Portland,6,9
2021,Oklahoma,Tulsa,0,6
2021,"District of Columbia",Washington,4,34
2021,Delaware,Wilmington,0,5
